source,target,weight,text_unit_ids
5TH CHAPTER,PERFECT METALLIC SPECIES,2.7331606912463438e-05,[0]
5TH CHAPTER,PERFECT TINCTURE,2.7331606912463438e-05,[0]
5TH CHAPTER,PERMANENT TINCTURE,2.7331606912463438e-05,[0]
5TH CHAPTER,PETER,2.7331606912463438e-05,[0]
5TH CHAPTER,PHILOSOPHER,2.7331606912463438e-05,[0]
5TH CHAPTER,PHILOSOPHER TESTIFIES,2.7331606912463438e-05,[0]
5TH CHAPTER,PHILOSOPHERS,2.7331606912463438e-05,[0]
5TH CHAPTER,PHILOSOPHERS EDWARD KELLY,2.7331606912463438e-05,[0]
5TH CHAPTER,PHILOSOPHICAL STONE,2.7331606912463438e-05,[0]
5TH CHAPTER,PRESENT TREATISE TIME,2.7331606912463438e-05,[0]
5TH CHAPTER,PROPER DEGREE,2.7331606912463438e-05,[0]
5TH CHAPTER,PROPER METHOD,2.7331606912463438e-05,[0]
5TH CHAPTER,PROPER SEED,2.7331606912463438e-05,[0]
5TH CHAPTER,PURE,2.7331606912463438e-05,[0]
5TH CHAPTER,PURE EARTH,2.7331606912463438e-05,[0]
5TH CHAPTER,PURE SEED,2.7331606912463438e-05,[0]
5TH CHAPTER,PURE SOIL,2.7331606912463438e-05,[0]
5TH CHAPTER,PURE WATER,8.039250544056598e-06,[0]
5TH CHAPTER,PURIFY,2.7331606912463438e-05,[0]
5TH CHAPTER,PURIFY LATON,2.7331606912463438e-05,[0]
5TH CHAPTER,QUICKSILVER,2.7331606912463438e-05,[0]
5TH CHAPTER,RADICAL HUMOUR,2.7331606912463438e-05,[0]
5TH CHAPTER,REAL BODY,8.039250544056598e-06,[0]
5TH CHAPTER,RED MAN,8.039250544056598e-06,[0]
5TH CHAPTER,RED SULPHUR,2.7331606912463438e-05,[0]
5TH CHAPTER,REJECT,2.7331606912463438e-05,[0]
5TH CHAPTER,REVEREND FATHER,2.7331606912463438e-05,[0]
5TH CHAPTER,ROSARY,2.7331606912463438e-05,[0]
5TH CHAPTER,ROSINUS,2.7331606912463438e-05,[0]
5TH CHAPTER,SAGES,8.039250544056598e-06,[0]
5TH CHAPTER,SAYS MENALATES,2.7331606912463438e-05,[0]
5TH CHAPTER,SAYS MERCURY,2.7331606912463438e-05,[0]
5TH CHAPTER,SEED,2.7331606912463438e-05,[0]
5TH CHAPTER,SEED SOWN,2.7331606912463438e-05,[0]
5TH CHAPTER,SENSITIVE THINGS,2.7331606912463438e-05,[0]
5TH CHAPTER,SEXUAL UNION,2.7331606912463438e-05,[0]
5TH CHAPTER,SILVER,2.7331606912463438e-05,[0]
5TH CHAPTER,SILVER COLOUR,2.7331606912463438e-05,[0]
5TH CHAPTER,SILVER EXHIBITS,2.7331606912463438e-05,[0]
5TH CHAPTER,SIMILAR CANON,2.7331606912463438e-05,[0]
5TH CHAPTER,SIMILAR THINGS,2.7331606912463438e-05,[0]
5TH CHAPTER,SIMPLE DIGESTION,2.7331606912463438e-05,[0]
5TH CHAPTER,SIMPLE SALT,2.7331606912463438e-05,[0]
5TH CHAPTER,SOLAR,2.7331606912463438e-05,[0]
5TH CHAPTER,SOLAR FATNESS,2.7331606912463438e-05,[0]
5TH CHAPTER,SOLAR STONE,2.7331606912463438e-05,[0]
5TH CHAPTER,SOLVENT DIFFERS,2.7331606912463438e-05,[0]
5TH CHAPTER,SOUNDING,2.7331606912463438e-05,[0]
5TH CHAPTER,SOW,2.7331606912463438e-05,[0]
5TH CHAPTER,SPECIFIC ARRANGEMENT,2.7331606912463438e-05,[0]
5TH CHAPTER,SPECIFIC FORM,2.7331606912463438e-05,[0]
5TH CHAPTER,SPECIFIC MERCURIAL NATURE,2.7331606912463438e-05,[0]
5TH CHAPTER,SPECIFIC METALLIC ARRANGEMENT,2.7331606912463438e-05,[0]
5TH CHAPTER,SPIRIT,2.7331606912463438e-05,[0]
5TH CHAPTER,STONE,8.039250544056598e-06,[0]
5TH CHAPTER,STONE ANTIMONY,2.7331606912463438e-05,[0]
5TH CHAPTER,STONY WILDERNESS,2.7331606912463438e-05,[0]
5TH CHAPTER,STRONG WATERS,2.7331606912463438e-05,[0]
5TH CHAPTER,SUCH CHILDISH EXPERIMENTS,2.7331606912463438e-05,[0]
5TH CHAPTER,SUCH PROPORTIONS,2.7331606912463438e-05,[0]
5TH CHAPTER,SULPHUREOUS HEAT,2.7331606912463438e-05,[0]
5TH CHAPTER,SUN,8.039250544056598e-06,[0]
5TH CHAPTER,THICK WATER,2.7331606912463438e-05,[0]
5TH CHAPTER,THOU,2.7331606912463438e-05,[0]
5TH CHAPTER,THOU ART,2.7331606912463438e-05,[0]
5TH CHAPTER,THOU DISPUTE,2.7331606912463438e-05,[0]
5TH CHAPTER,THREEFOLD DIVISION,2.7331606912463438e-05,[0]
5TH CHAPTER,THY NATURE,2.7331606912463438e-05,[0]
5TH CHAPTER,THY OPERATION,2.7331606912463438e-05,[0]
5TH CHAPTER,THY SOUL,2.7331606912463438e-05,[0]
5TH CHAPTER,TINCTURE,2.7331606912463438e-05,[0]
5TH CHAPTER,TINGE SULPHUR,2.7331606912463438e-05,[0]
